benchmark,perf_weight,storage_zone_cols,nqubits,total_fidelity,total_1q_gate_fidelity,total_2q_gate_fidelity,total_coherence_fidelity,total_2q_on_idle,total_transfer_fidelity,total_duration
qaoa_maxcut_n14.qasm,0.6,11,14,0.76094561938658,0.970723729284053,0.8813641922600811,0.952027237293093,1.0,0.9342286880693631,5462.746499791906
dj_n16.qasm,0.6,10,16,0.8098942961542741,0.9715981676349251,0.934585342360254,0.950892542433699,1.0,0.9379749638258461,4884.707853819984
bv_n14.qasm,0.6,9,14,0.8362476152098061,0.9742262117471581,0.9430537290839961,0.9626564049562241,1.0,0.945512643502422,4245.4350749131845
hamsim_n18.qasm,0.6,11,18,0.7555411416295441,0.9542581251987671,0.926192999632195,0.9187039953432851,1.0,0.930497374953234,7276.164122600043
graphstate_n20.qasm,0.6,12,20,0.7705283958519921,0.98215307210967,0.9137455759625511,0.9527378213028951,1.0,0.9011784036598731,3761.164149140416
bv_n19.qasm,0.6,12,19,0.7665084934106311,0.9654936012956281,0.9220251311338501,0.9290684406920411,1.0,0.9267809647166121,5975.121436058278
multiply_n13.qasm,0.6,8,13,0.6358542056920651,0.9525412335224901,0.8424963844998471,0.920624406049209,1.0,0.8606433826830371,9931.746568366954
knn_n25.qasm,0.6,23,25,0.318446764326069,0.8871387370561481,0.722721599141222,0.709186491551692,1.0,0.700347864034749,21108.4451445359
wstate_n24.qasm,0.6,15,24,0.49320207861728904,0.9196724659362091,0.8126399349452821,0.799686590855591,1.0,0.8252275899809911,14292.461843954849
cat_n22.qasm,0.4,9,22,0.726296347036485,0.96202251381512,0.909633720870719,0.906356614553477,1.0,0.9157205572498951,6865.438824148232
ghz_n23.qasm,0.4,10,23,0.714581465321062,0.960291652528489,0.905540369126801,0.9009814735149171,1.0,0.9120631656822731,6961.994590552849
wstate_n27.qasm,0.4,11,27,0.420866960994971,0.9097890217953091,0.790944020035225,0.725960411729723,1.0,0.805648229109544,18114.43305233437
dj_n26.qasm,0.4,11,26,0.6666751466311951,0.9542581251987671,0.8933705032036481,0.867772761626026,1.0,0.9011784036598741,8346.234266801664
swap_test_n25.qasm,0.4,16,25,0.31399901091165705,0.8871387370561481,0.722721599141222,0.6992812672171651,1.0,0.700347864034749,21952.37395224154
qaoa_maxcut_n14.qasm,0.4,8,14,0.761241667981648,0.970723729284053,0.8813641922600811,0.9523976268700711,1.0,0.9342286880693631,5421.070297406191
dj_n16.qasm,0.4,7,16,0.808373722107078,0.9715981676349241,0.934585342360254,0.9491072446132751,1.0,0.9379749638258461,5060.888631379635
bv_n14.qasm,0.4,6,14,0.8345523004532681,0.9742262117471581,0.9430537290839961,0.960704823176958,1.0,0.945512643502422,4462.864974694658
hamsim_n18.qasm,0.4,8,18,0.7578956402659871,0.9542581251987671,0.926192999632195,0.9215669596282811,1.0,0.930497374953234,7016.875620635672
graphstate_n20.qasm,0.4,8,20,0.7594950211957681,0.98215307210967,0.9137455759625511,0.9390953476599011,1.0,0.9011784036598741,4842.869741878645
bv_n19.qasm,0.4,8,19,0.7677752691791461,0.9654936012956281,0.9220251311338501,0.930603872325321,1.0,0.9267809647166121,5844.756195328627
multiply_n13.qasm,0.4,6,13,0.630452402749734,0.9525412335224901,0.8424963844998471,0.9128033810707451,1.0,0.8606433826830371,10916.16650491116
knn_n25.qasm,0.4,16,25,0.31399901091165705,0.8871387370561481,0.722721599141222,0.6992812672171651,1.0,0.700347864034749,21952.37395224154
wstate_n24.qasm,0.4,10,24,0.48816368685228106,0.9196724659362091,0.8126399349452821,0.7915172531568341,1.0,0.8252275899809911,14934.225115519848
cat_n22.qasm,0.2,5,22,0.7241353782095741,0.96202251381512,0.909633720870719,0.9036599076264691,1.0,0.9157205572498951,7068.604392173957
ghz_n23.qasm,0.2,5,23,0.7109870980099331,0.960291652528489,0.905540369126801,0.8964495082828211,1.0,0.9120631656822731,7290.867942838836
wstate_n27.qasm,0.2,6,27,0.41791441012646,0.9097890217953091,0.790944020035225,0.7208675076939921,1.0,0.805648229109544,18505.551136129434
dj_n26.qasm,0.2,6,26,0.6674994150116651,0.9542581251987671,0.8933705032036481,0.868845664452021,1.0,0.9011784036598741,8274.94831600537
swap_test_n25.qasm,0.2,8,25,0.30009779496808103,0.8871387370561481,0.722721599141222,0.668323017149243,1.0,0.700347864034749,24669.259822937467
qaoa_maxcut_n14.qasm,0.2,4,14,0.754944802924783,0.970723729284053,0.8813641922600811,0.9445195513664281,1.0,0.9342286880693631,6311.024145607944
dj_n16.qasm,0.2,4,16,0.8072111848871181,0.9715981676349251,0.934585342360254,0.9477423159083691,1.0,0.9379749638258461,5195.809281740221
bv_n14.qasm,0.2,3,14,0.83338542396003,0.9742262117471581,0.9430537290839961,0.959361559400083,1.0,0.945512643502422,4612.777648273591
hamsim_n18.qasm,0.2,4,18,0.755330967817296,0.9542581251987671,0.926192999632195,0.918448433454739,1.0,0.930497374953234,7299.348724867115
graphstate_n20.qasm,0.2,5,20,0.7541439753436411,0.9821530721096701,0.9137455759625511,0.9324789221079121,1.0,0.9011784036598741,5373.154851794515
bv_n19.qasm,0.2,4,19,0.7661738717191161,0.9654936012956281,0.9220251311338501,0.9286628529447031,1.0,0.9267809647166121,6009.593682862358
multiply_n13.qasm,0.2,3,13,0.609321255258166,0.9525412335224911,0.8424963844998471,0.882208552988435,1.0,0.8606433826830381,14849.861110491132
knn_n25.qasm,0.2,8,25,0.30009779496808103,0.8871387370561481,0.722721599141222,0.668323017149243,1.0,0.700347864034749,24669.259822937467
wstate_n24.qasm,0.2,5,24,0.47396588684651103,0.91967246593621,0.8126399349452821,0.7684966886123891,1.0,0.8252275899809911,16778.93905688223
