benchmarks,tile_widths,perf_weight,total_fidelity,nbins,total_coherence_fidelity,total_transfer_fidelity,avg_bin_duration,cummulative_duration
swap_test_n25-bv_n19-adder_n18-ghz_n23-wstate_n27,"[[47], [52, 37, 57], [37]]",0.4,0.47988407153334467,3,0.8526505516679431,0.7774578225458787,9584.371988313434,45035.236250265545
dnn_n16-cat_n22-bv_n19-seca_n11-ghz_n23-swap_test_n25,"[[22, 52, 37, 47, 47, 37]]",0.4,0.559390062891586,1,0.9318292921922978,0.8263291785495267,5528.109142343709,9609.534591574245
swap_test_n25-bv_n19-adder_n18-ghz_n23-wstate_n27,"[[47], [57, 37, 37], [52]]",1.0,0.4929444200818551,3,0.8697346139659448,0.7790150736781613,8919.283001354652,35256.00204670605
dnn_n16-cat_n22-bv_n19-seca_n11-ghz_n23-swap_test_n25,"[[22], [47, 37, 52, 47], [37]]",1.0,0.5581373005668665,3,0.927525005071107,0.8268805241487638,5945.781507482615,28293.417250072383
