benchmark,bin_idx,tile_width,cir_fidelity,nbins,cir_coherence,cir_transfer_fidelity,cir_duration,n_aods,n_rows,selector_algo,selector_weight,set_size,compilation_time,planning_time,bundling_time,scheduling_time,placement_time,routing_time
dj_n26,0,67.0,0.708308338684808,2,0.9219642973780791,0.9011784036598741,4851.429568801817,1,1,fifo,0,6,24.657798202708364,0.2553845481015742,4.288181662559509e-05,24.12309302436188,0.006630418356508017,0.19229063345119357
ghz_n23,0,57.0,0.74436560973703,2,0.9385348717285451,0.9120631656822731,4298.821745832165,1,1,fifo,0,6,24.657798202708364,0.2553845481015742,4.288181662559509e-05,24.12309302436188,0.006630418356508017,0.19229063345119357
cat_n22,0,57.0,0.756399918573045,2,0.9439233341097231,0.9157205572498951,4096.431591009901,1,1,fifo,0,6,24.657798202708364,0.2553845481015742,4.288181662559509e-05,24.12309302436188,0.006630418356508017,0.19229063345119357
bv_n19,0,47.0,0.7894660114887511,2,0.956894754041933,0.9267809647166121,3645.305404316431,1,1,fifo,0,6,24.657798202708364,0.2553845481015742,4.288181662559509e-05,24.12309302436188,0.006630418356508017,0.19229063345119357
swap_test_n25,1,97.0,0.36547128210495805,2,0.819227703301437,0.6989478686545431,12455.032465723314,1,1,fifo,0,6,24.657798202708364,0.2553845481015742,4.288181662559509e-05,24.12309302436188,0.006630418356508017,0.19229063345119357
graphstate_n20,1,47.0,0.781085903368506,2,0.9657918979129461,0.9011784036598731,2740.517092630963,1,1,fifo,0,6,24.657798202708364,0.2553845481015742,4.288181662559509e-05,24.12309302436188,0.006630418356508017,0.19229063345119357
wstate_n27,0,67.0,0.47833608300921204,3,0.8250898548691261,0.805648229109544,11003.499088076835,1,1,fifo,0,8,38.20652188966051,0.29295189306139946,6.01746141910553e-05,37.70556095521897,0.008574421517550945,0.08518847730010748
ghz_n23,0,57.0,0.692438875567665,3,0.873062944821358,0.9120631656822731,9014.845043417157,1,1,fifo,0,8,38.20652188966051,0.29295189306139946,6.01746141910553e-05,37.70556095521897,0.008574421517550945,0.08518847730010748
bv_n19,0,47.0,0.752909241918007,3,0.912585080771772,0.9267809647166121,7388.365158162118,1,1,fifo,0,8,38.20652188966051,0.29295189306139946,6.01746141910553e-05,37.70556095521897,0.008574421517550945,0.08518847730010748
multiply_n13,0,28.5,0.628729823260707,3,0.925754050753489,0.8554924148377161,9305.540409943887,1,1,fifo,0,8,38.20652188966051,0.29295189306139946,6.01746141910553e-05,37.70556095521897,0.008574421517550945,0.08518847730010748
knn_n25,1,97.0,0.35664039950514104,3,0.8099112459551631,0.696156268072044,13143.67661284368,1,1,fifo,0,8,38.20652188966051,0.29295189306139946,6.01746141910553e-05,37.70556095521897,0.008574421517550945,0.08518847730010748
hamsim_n18,1,47.0,0.7737521520545231,3,0.940847763716482,0.930497374953234,5291.383378057618,1,1,fifo,0,8,38.20652188966051,0.29295189306139946,6.01746141910553e-05,37.70556095521897,0.008574421517550945,0.08518847730010748
